MCC Code,Chase Freedom Unlimited®,Wells Fargo Active Cash® Card,Capital One Venture Rewards Credit Card,Blue Cash Preferred® Card from American Express,Capital One SavorOne Cash Rewards Credit Card,Chase Sapphire Preferred® Card,U.S. Bank Visa® Platinum Card,Wells Fargo Reflect® Card,Discover it® Cash Back,Darb Card
7933,2.08% cashback,4.50% cashback,1x points,2.71% cashback,4.78% cashback,3x points,2x points,2.20% cashback,5x points,0.77% cashback
4131,3.12% cashback,4x points,3.20% cashback,5x points,3.05% cashback,4.17% cashback,3.80% cashback,2.45% cashback,3x points,1x points
8244,4x points,4x points,1.60% cashback,2.43% cashback,4.15% cashback,0.55% cashback,1x points,5x points,1x points,3x points
7278,5x points,4x points,0.98% cashback,2.42% cashback,4x points,2x points,1x points,1.92% cashback,4.55% cashback,3x points
4899,1.86% cashback,2.71% cashback,2x points,5x points,1x points,3.97% cashback,3.57% cashback,3x points,4.25% cashback,1x points
5946,3.65% cashback,1.61% cashback,2x points,3.13% cashback,1.04% cashback,4.77% cashback,1x points,3.50% cashback,1.86% cashback,2x points
5441,1.69% cashback,5x points,2.42% cashback,5x points,4x points,2x points,2x points,3.89% cashback,4x points,1x points
7512,4.76% cashback,3.47% cashback,2.11% cashback,5x points,3.30% cashback,4x points,4x points,3x points,4.83% cashback,4x points
7542,3x points,2x points,2.54% cashback,5x points,5x points,4.74% cashback,1x points,4.84% cashback,0.77% cashback,4x points
5511,1x points,4x points,3.52% cashback,3.11% cashback,4x points,3.27% cashback,4.55% cashback,1.71% cashback,4.02% cashback,1x points
5521,3x points,3x points,1x points,4.18% cashback,2.50% cashback,3.73% cashback,3x points,2x points,1.78% cashback,3x points
1750,1.29% cashback,5x points,1x points,3x points,4x points,4.42% cashback,4x points,3.98% cashback,3x points,2x points
7217,5x points,1x points,2.43% cashback,5x points,3.14% cashback,2.34% cashback,2x points,1.59% cashback,5x points,4.31% cashback
5811,2x points,3x points,5x points,1.05% cashback,2x points,1.58% cashback,5x points,3x points,4x points,2x points
8398,0.79% cashback,1.03% cashback,3x points,1x points,2x points,2x points,5x points,4.19% cashback,1.31% cashback,4.57% cashback
5169,5x points,4x points,1x points,0.69% cashback,2.67% cashback,2x points,5x points,4x points,3x points,3.03% cashback
8351,3x points,1.13% cashback,3x points,3.07% cashback,3x points,4x points,4.06% cashback,5x points,3.98% cashback,2.89% cashback
5641,2x points,4x points,3.56% cashback,4x points,4.16% cashback,2.48% cashback,1x points,1x points,3.78% cashback,2x points
8049,4.21% cashback,4.86% cashback,0.83% cashback,4.48% cashback,2.89% cashback,4x points,4.89% cashback,1.12% cashback,5x points,3x points
8041,1.60% cashback,1.60% cashback,4.28% cashback,0.77% cashback,1x points,1.75% cashback,3.15% cashback,1x points,4.28% cashback,2.65% cashback
5993,0.85% cashback,4.81% cashback,4.95% cashback,5x points,3x points,2x points,4.66% cashback,2x points,1.92% cashback,1x points
8641,2.43% cashback,3x points,3.14% cashback,5x points,4.76% cashback,2x points,2x points,4x points,3x points,4x points
7349,2x points,3.15% cashback,5x points,4.63% cashback,4x points,0.63% cashback,3.46% cashback,1.93% cashback,2x points,4x points
7296,3x points,4.15% cashback,4.15% cashback,5x points,3x points,5x points,1x points,2x points,2.22% cashback,2.69% cashback
8220,4x points,5x points,2.66% cashback,3.62% cashback,4.76% cashback,4x points,1.65% cashback,2.95% cashback,2x points,3x points
5046,2x points,5x points,2x points,2.15% cashback,3x points,1x points,1x points,4x points,5x points,2.42% cashback
5139,1.10% cashback,3.01% cashback,2x points,3.45% cashback,2.18% cashback,3x points,2.04% cashback,5x points,5.00% cashback,1x points
7333,1x points,4.75% cashback,1.72% cashback,1.29% cashback,4x points,1x points,2x points,2.97% cashback,0.58% cashback,2x points
4111,5x points,5x points,3x points,2x points,2.93% cashback,2.93% cashback,4x points,5x points,2x points,1x points
4816,1.54% cashback,2x points,0.95% cashback,1x points,1x points,1x points,1x points,2x points,2.97% cashback,5x points
7372,5x points,2.64% cashback,3.06% cashback,2.67% cashback,1.63% cashback,3x points,2.66% cashback,0.73% cashback,1.37% cashback,3x points
7379,5x points,5x points,1x points,3.32% cashback,1x points,4.63% cashback,5x points,1.81% cashback,1.61% cashback,4x points
5734,5x points,1x points,2x points,0.74% cashback,3.13% cashback,3.43% cashback,2.05% cashback,0.92% cashback,1x points,2.98% cashback
5045,2x points,1x points,5x points,3x points,3x points,3x points,4x points,3.96% cashback,1.97% cashback,1.60% cashback
1771,2x points,3x points,4.50% cashback,5x points,2x points,4x points,3.77% cashback,0.99% cashback,2x points,0.95% cashback
5039,4x points,3.46% cashback,1.03% cashback,4x points,1x points,4.88% cashback,2.04% cashback,4.91% cashback,3.22% cashback,4x points
7392,3.18% cashback,2x points,3.38% cashback,1x points,5x points,5x points,1.51% cashback,5x points,2.64% cashback,3.55% cashback
8241,0.91% cashback,0.51% cashback,3x points,2.60% cashback,0.65% cashback,1.68% cashback,1x points,4.06% cashback,5x points,3x points
5977,0.99% cashback,2.30% cashback,3.77% cashback,1.73% cashback,3x points,5x points,2x points,0.92% cashback,0.90% cashback,0.86% cashback
7277,0.64% cashback,4x points,4x points,3x points,4x points,3.96% cashback,3.55% cashback,2x points,1x points,4x points
7997,3.46% cashback,3.39% cashback,3x points,2x points,4x points,4x points,3.58% cashback,3.60% cashback,4.07% cashback,4.49% cashback
4215,4x points,4x points,4x points,3.31% cashback,2x points,2x points,2x points,3.49% cashback,4.76% cashback,4x points
9211,5x points,4.92% cashback,4x points,3x points,5x points,3.40% cashback,5x points,3x points,4.47% cashback,2x points
7321,1.44% cashback,4x points,4.46% cashback,2.96% cashback,4.85% cashback,1x points,2.40% cashback,3.53% cashback,3x points,5x points
4411,2x points,4.45% cashback,1.40% cashback,5x points,3x points,1x points,2.81% cashback,2.65% cashback,4.93% cashback,4x points
5451,5x points,4.99% cashback,4x points,3x points,3x points,5x points,2.93% cashback,4.66% cashback,2.17% cashback,2.44% cashback
7911,3.61% cashback,1.71% cashback,3x points,2.45% cashback,3x points,3.09% cashback,3x points,2.88% cashback,1x points,1x points
7273,3x points,5x points,4x points,1.39% cashback,4.92% cashback,5x points,3.37% cashback,2x points,3x points,2.04% cashback
8021,4x points,1.27% cashback,2x points,1.80% cashback,4x points,4x points,3.82% cashback,4x points,5x points,1x points
5311,3x points,0.63% cashback,3x points,3x points,1x points,3.96% cashback,5x points,2.88% cashback,2x points,2.56% cashback
7393,4.54% cashback,1.46% cashback,5x points,5x points,2.91% cashback,5x points,2.98% cashback,3x points,5x points,2.83% cashback
5815,3x points,2x points,5x points,3.82% cashback,1x points,2x points,5x points,4x points,0.72% cashback,4.47% cashback
5817,0.58% cashback,2.52% cashback,4x points,3.90% cashback,4x points,4.01% cashback,5x points,1.61% cashback,3.31% cashback,4x points
5816,4x points,0.68% cashback,5x points,3.19% cashback,4.53% cashback,3x points,1.64% cashback,2x points,1x points,3x points
5818,4.94% cashback,2.69% cashback,4.97% cashback,3x points,2.64% cashback,2.07% cashback,1x points,4x points,1x points,4.01% cashback
5964,4.73% cashback,2.87% cashback,4.76% cashback,5x points,2.97% cashback,3x points,0.66% cashback,4x points,1x points,4.61% cashback
5965,2.63% cashback,1.91% cashback,5x points,3x points,2x points,1x points,5x points,1x points,1.76% cashback,2.90% cashback
5967,3x points,4x points,2.05% cashback,1.26% cashback,3.68% cashback,2.52% cashback,5x points,2.20% cashback,3.90% cashback,4.44% cashback
5960,2.60% cashback,4.60% cashback,2x points,2.33% cashback,4x points,2.67% cashback,0.97% cashback,1x points,4.59% cashback,2.79% cashback
5969,4.20% cashback,3x points,2.16% cashback,4.21% cashback,1.17% cashback,2x points,2.82% cashback,2x points,5x points,1.62% cashback
5966,4.03% cashback,3x points,4.94% cashback,4.82% cashback,3.34% cashback,2.62% cashback,2x points,4x points,3x points,3.31% cashback
5968,1x points,1.04% cashback,4x points,1x points,5x points,4x points,3.89% cashback,2x points,1x points,3x points
5962,2.58% cashback,4.40% cashback,2x points,0.67% cashback,2x points,3.70% cashback,3x points,3x points,4.32% cashback,4x points
5310,2.66% cashback,4.30% cashback,5x points,0.87% cashback,4x points,1.11% cashback,2x points,3x points,2x points,4x points
8011,4.61% cashback,4.31% cashback,1x points,4x points,4x points,2x points,4.52% cashback,2.11% cashback,3x points,1x points
5963,4x points,1x points,5x points,1.41% cashback,3.16% cashback,2x points,4x points,1x points,4.92% cashback,4x points
5714,2.19% cashback,1x points,2x points,5x points,3.17% cashback,0.74% cashback,3x points,2x points,2x points,5x points
5813,3.64% cashback,3x points,4x points,2.81% cashback,1.61% cashback,2.74% cashback,2.28% cashback,2.19% cashback,3.30% cashback,4x points
5912,4.18% cashback,3.55% cashback,2x points,3x points,4x points,4x points,3x points,1x points,1.37% cashback,2x points
5122,3.88% cashback,3.81% cashback,3x points,4x points,2x points,3.61% cashback,1.91% cashback,1x points,3x points,0.71% cashback
7216,5x points,3.25% cashback,3x points,0.55% cashback,1.02% cashback,2x points,5x points,2x points,1.46% cashback,4x points
5099,5x points,5x points,1.55% cashback,1x points,3.62% cashback,1x points,4.32% cashback,2x points,2.45% cashback,1.63% cashback
5309,1x points,1.44% cashback,1x points,0.75% cashback,4x points,5x points,0.60% cashback,1.20% cashback,4x points,3x points
5812,4x points,3.15% cashback,5x points,2.23% cashback,2.08% cashback,2.74% cashback,5x points,1x points,5x points,4x points
8299,1.05% cashback,4.26% cashback,2x points,1.74% cashback,2.70% cashback,0.91% cashback,1x points,3x points,3.39% cashback,4.85% cashback
5997,3x points,3.20% cashback,2.53% cashback,1.59% cashback,4.05% cashback,3.52% cashback,5x points,1.78% cashback,5x points,1.80% cashback
5552,0.70% cashback,2x points,1.30% cashback,4.68% cashback,4.32% cashback,2x points,5x points,1x points,4x points,1x points
5065,3x points,3x points,3.49% cashback,1x points,3x points,2.38% cashback,1.71% cashback,5x points,3.01% cashback,5x points
1731,5x points,1.25% cashback,4.44% cashback,2x points,5x points,3.87% cashback,2x points,2x points,4.05% cashback,1.44% cashback
7622,4.63% cashback,0.91% cashback,2x points,4.56% cashback,3x points,2.76% cashback,4x points,2x points,2.72% cashback,0.85% cashback
5732,2x points,1.83% cashback,4x points,2x points,1x points,1x points,5x points,3.45% cashback,2x points,2.48% cashback
8211,1x points,4x points,3x points,3.88% cashback,2.01% cashback,3x points,2.57% cashback,4x points,3x points,3x points
9702,0.89% cashback,4.80% cashback,4.99% cashback,4x points,4x points,3.48% cashback,3x points,4.82% cashback,1.15% cashback,3.11% cashback
7361,2x points,3x points,1x points,0.93% cashback,3x points,4.00% cashback,5x points,1x points,1.38% cashback,5x points
7394,2x points,5x points,2.75% cashback,3.79% cashback,1x points,4.46% cashback,0.73% cashback,2.89% cashback,3x points,1x points
7342,5x points,1x points,4x points,2.98% cashback,2x points,4.52% cashback,3x points,4x points,2.92% cashback,1.06% cashback
5651,5x points,4x points,2.79% cashback,3x points,2x points,1x points,1x points,4.10% cashback,5x points,3.42% cashback
5814,5x points,4x points,2.50% cashback,2x points,3x points,2x points,3x points,3.42% cashback,4x points,4x points
6012,3.69% cashback,2x points,2.66% cashback,4x points,1x points,4.85% cashback,5x points,2x points,4.00% cashback,1.08% cashback
9222,4.07% cashback,3.64% cashback,2.35% cashback,2.37% cashback,2.81% cashback,3.92% cashback,1.68% cashback,2x points,5x points,5x points
5718,2x points,4.74% cashback,1.56% cashback,4x points,1.03% cashback,3x points,2.98% cashback,3x points,2x points,3x points
5713,3x points,1x points,1x points,1.86% cashback,2.50% cashback,2.84% cashback,5x points,2x points,1.66% cashback,5x points
5992,2.08% cashback,2x points,2x points,4x points,2x points,5x points,2x points,2.35% cashback,3.04% cashback,0.71% cashback
5193,1.72% cashback,2x points,1x points,4.37% cashback,3x points,3.77% cashback,2.42% cashback,1x points,2x points,4x points
5422,3x points,3.88% cashback,2.92% cashback,2.85% cashback,0.85% cashback,3x points,2x points,2.58% cashback,3x points,2x points
5983,1.59% cashback,5x points,2x points,5x points,1x points,2x points,4.75% cashback,3x points,3x points,3x points
7261,5x points,3.80% cashback,5x points,5x points,4.08% cashback,3x points,5x points,1.48% cashback,3.08% cashback,4x points
7641,1x points,3.54% cashback,2.49% cashback,1x points,3x points,4x points,4x points,2x points,3.25% cashback,3.84% cashback
5712,3.73% cashback,3.67% cashback,5x points,2.20% cashback,2x points,3.18% cashback,4x points,3.36% cashback,3x points,1.30% cashback
5681,4.26% cashback,4.54% cashback,3.97% cashback,1.39% cashback,5x points,3.17% cashback,5x points,3x points,2x points,1x points
1520,4.26% cashback,5x points,4x points,5x points,1.24% cashback,3.23% cashback,1x points,2.69% cashback,2x points,4.05% cashback
5947,4x points,5x points,3.93% cashback,1.37% cashback,4x points,4.45% cashback,5x points,1x points,1.38% cashback,5x points
5231,5x points,2x points,2x points,2.24% cashback,4.70% cashback,3x points,5x points,4x points,5x points,5x points
5950,4x points,2.17% cashback,5x points,4.95% cashback,4x points,3.86% cashback,2.42% cashback,2.62% cashback,1.44% cashback,0.62% cashback
7992,5x points,3.67% cashback,4x points,2x points,1x points,3x points,4x points,2.12% cashback,3x points,3.42% cashback
7801,4x points,1x points,4.53% cashback,4x points,4x points,2.85% cashback,2x points,4.33% cashback,5x points,1.56% cashback
9399,3x points,5x points,4x points,3x points,4.25% cashback,4x points,2x points,1x points,4.87% cashback,2x points
7802,2.44% cashback,2.53% cashback,1x points,3.15% cashback,4.86% cashback,5x points,2x points,4.81% cashback,3x points,1x points
9406,5x points,3x points,3x points,2.75% cashback,2.99% cashback,0.95% cashback,2x points,2x points,4.79% cashback,3x points
7800,1.39% cashback,4x points,4.57% cashback,2.86% cashback,1.98% cashback,2.55% cashback,1.57% cashback,2.50% cashback,3x points,1x points
5411,2.37% cashback,2x points,0.89% cashback,3.95% cashback,3.61% cashback,4.08% cashback,3x points,0.92% cashback,1.32% cashback,2x points
5251,4x points,3x points,4x points,3.06% cashback,2.57% cashback,3.90% cashback,2x points,4x points,4x points,5x points
5072,1.87% cashback,2x points,1.63% cashback,3x points,0.86% cashback,4.66% cashback,3.38% cashback,5x points,1.93% cashback,2.87% cashback
7298,2.11% cashback,3.08% cashback,2x points,1x points,3.91% cashback,3x points,4.91% cashback,4.86% cashback,0.57% cashback,3x points
5975,4x points,4x points,1.43% cashback,4x points,2.78% cashback,2x points,2.62% cashback,2x points,2x points,4.93% cashback
1711,0.89% cashback,3.96% cashback,2.59% cashback,2.06% cashback,4x points,4x points,3x points,0.68% cashback,0.64% cashback,4.14% cashback
5945,2x points,3.08% cashback,4x points,4x points,4x points,1.84% cashback,4x points,3.10% cashback,3x points,4x points
5200,1.43% cashback,5x points,2x points,1x points,3x points,5x points,4.04% cashback,1x points,3.94% cashback,4x points
8062,3.76% cashback,2.50% cashback,5x points,1x points,0.86% cashback,4x points,1.74% cashback,0.63% cashback,2.14% cashback,1.03% cashback
7011,1x points,3x points,4.59% cashback,4.19% cashback,0.88% cashback,0.56% cashback,3.10% cashback,4.06% cashback,1.69% cashback,5x points
5722,4x points,2.13% cashback,5x points,4x points,3x points,2.53% cashback,4x points,3x points,1x points,4.51% cashback
5085,3x points,5x points,3x points,5x points,1x points,3x points,1.90% cashback,4x points,4x points,3.29% cashback
7375,3x points,5x points,3.53% cashback,2.64% cashback,4x points,5x points,5x points,1x points,5x points,1x points
6399,3.65% cashback,1x points,4x points,1x points,4x points,4.52% cashback,1.97% cashback,5x points,2x points,4.12% cashback
6300,4x points,3.76% cashback,3x points,2x points,5x points,3.84% cashback,4.11% cashback,5x points,3.37% cashback,3.00% cashback
9950,2x points,2x points,2.81% cashback,1.51% cashback,2x points,1x points,4.44% cashback,2.93% cashback,4.89% cashback,2x points
5944,1.34% cashback,3x points,4.14% cashback,1.50% cashback,4.14% cashback,0.78% cashback,2.16% cashback,5x points,3x points,1.25% cashback
780,3.36% cashback,2x points,4x points,1x points,3.23% cashback,1.32% cashback,1.79% cashback,5x points,2.37% cashback,1x points
7211,3.25% cashback,5x points,4x points,1.43% cashback,1.93% cashback,2x points,1x points,1.49% cashback,2.58% cashback,0.55% cashback
7210,5x points,0.61% cashback,2x points,4x points,3x points,1.27% cashback,4.13% cashback,1x points,3.60% cashback,2.43% cashback
8111,1x points,5x points,4.04% cashback,5x points,4.31% cashback,3x points,3x points,4x points,1x points,2.31% cashback
5948,3x points,3.99% cashback,2.06% cashback,4x points,3x points,4x points,1.64% cashback,3.13% cashback,1.47% cashback,3x points
5211,2x points,3.49% cashback,3x points,1x points,1.54% cashback,3x points,2.26% cashback,4x points,3.26% cashback,0.78% cashback
6010,4x points,4.80% cashback,1x points,3.91% cashback,1.47% cashback,2.45% cashback,2.97% cashback,3x points,2.62% cashback,2x points
4468,5x points,0.96% cashback,1x points,5x points,2.64% cashback,0.85% cashback,2.19% cashback,4.16% cashback,4x points,2.63% cashback
5262,4.73% cashback,1.04% cashback,1x points,1x points,4.48% cashback,5x points,2x points,1x points,2.17% cashback,3.45% cashback
1740,1x points,0.56% cashback,3x points,4x points,4.60% cashback,0.56% cashback,4.59% cashback,3x points,4x points,1.16% cashback
7297,4x points,3.57% cashback,2x points,2.58% cashback,3x points,3.85% cashback,3.79% cashback,3x points,2x points,3x points
8099,4.78% cashback,3x points,1x points,2x points,2.03% cashback,0.87% cashback,1x points,0.56% cashback,0.57% cashback,1x points
8071,2x points,1.77% cashback,4x points,2x points,3x points,1.97% cashback,5x points,3.63% cashback,1.22% cashback,3.91% cashback
5047,2.36% cashback,5x points,1.85% cashback,4.56% cashback,3.46% cashback,2.11% cashback,5x points,5x points,3.07% cashback,4x points
8699,4x points,4.78% cashback,2x points,4x points,3.61% cashback,2.73% cashback,2x points,4.95% cashback,3x points,2x points
5611,1x points,5x points,3.96% cashback,3.29% cashback,3x points,4.35% cashback,3x points,2x points,3.80% cashback,5x points
5691,0.82% cashback,2.54% cashback,2.71% cashback,4.44% cashback,0.80% cashback,4.16% cashback,4.02% cashback,0.63% cashback,4.33% cashback,5x points
5051,4.74% cashback,1x points,3.50% cashback,2x points,3.99% cashback,4.74% cashback,4x points,5x points,2.18% cashback,4.81% cashback
5699,3.32% cashback,5x points,2.86% cashback,4.83% cashback,1.30% cashback,2x points,4.60% cashback,4.76% cashback,2.53% cashback,5x points
5599,2.71% cashback,2x points,4x points,2.08% cashback,1.97% cashback,4x points,5x points,4x points,5x points,2.11% cashback
7399,3.69% cashback,4.18% cashback,5x points,4x points,2x points,1.01% cashback,3x points,2.05% cashback,3.10% cashback,2x points
5499,1.08% cashback,2.01% cashback,3.28% cashback,0.83% cashback,1.89% cashback,3.64% cashback,5x points,3.51% cashback,1x points,2x points
5399,1.06% cashback,2x points,5x points,4x points,2.39% cashback,3x points,4x points,2x points,3x points,3.15% cashback
7299,4.08% cashback,3.03% cashback,2.62% cashback,2x points,2.59% cashback,1x points,5x points,2x points,4x points,5x points
5719,2.69% cashback,3.53% cashback,2x points,3x points,3x points,4.58% cashback,1.35% cashback,3.77% cashback,3x points,3x points
2741,4.43% cashback,2.04% cashback,2x points,4.68% cashback,3.72% cashback,1.76% cashback,1.79% cashback,3.75% cashback,4.92% cashback,3.67% cashback
7999,2.75% cashback,5x points,1x points,2x points,0.75% cashback,4x points,2.47% cashback,2.97% cashback,4x points,4x points
7699,2x points,3.13% cashback,2.71% cashback,4x points,2.33% cashback,1x points,5x points,5x points,5x points,3.79% cashback
5999,4.56% cashback,5x points,1x points,3x points,5x points,1.11% cashback,1x points,4x points,1x points,2.00% cashback
5271,4.25% cashback,3.79% cashback,2.51% cashback,1x points,3x points,3x points,3.69% cashback,1.61% cashback,3.77% cashback,1.91% cashback
7832,4x points,3x points,1.93% cashback,4.34% cashback,4x points,4.44% cashback,4.96% cashback,5x points,3.78% cashback,2.38% cashback
4214,2x points,4.73% cashback,2.68% cashback,1x points,1.82% cashback,1.68% cashback,4x points,4.48% cashback,3x points,2.90% cashback
5592,2.17% cashback,3.55% cashback,2.90% cashback,2x points,1x points,0.90% cashback,2x points,2.59% cashback,0.72% cashback,4x points
5013,4x points,1.28% cashback,1.95% cashback,3.33% cashback,4x points,1.79% cashback,4.95% cashback,4x points,1.44% cashback,3x points
5571,1.10% cashback,1.08% cashback,4x points,4.70% cashback,3x points,4x points,3.16% cashback,1x points,3.72% cashback,2x points
5561,4.06% cashback,3x points,2.95% cashback,5x points,2.44% cashback,1x points,3.49% cashback,0.91% cashback,1x points,4.00% cashback
5733,1x points,4.82% cashback,2x points,4.10% cashback,4x points,2x points,2.52% cashback,4.77% cashback,3x points,4.85% cashback
5994,5x points,3.33% cashback,1.93% cashback,3.98% cashback,1x points,2.24% cashback,5x points,3.48% cashback,2x points,2x points
6051,3.57% cashback,1x points,0.56% cashback,4x points,2x points,3x points,2.61% cashback,2.93% cashback,1x points,3.93% cashback
6540,4x points,2.67% cashback,2.10% cashback,1.64% cashback,3.25% cashback,3x points,4.20% cashback,3x points,2x points,2.43% cashback
5199,2.93% cashback,3x points,2.17% cashback,2.68% cashback,4x points,1.36% cashback,0.54% cashback,2.57% cashback,1x points,2.41% cashback
5261,2x points,2.90% cashback,3.64% cashback,1.79% cashback,1.58% cashback,2x points,4x points,0.81% cashback,1.49% cashback,4x points
8050,4x points,0.76% cashback,0.59% cashback,3x points,4x points,3.91% cashback,1x points,5x points,4.81% cashback,5x points
5021,1x points,3x points,3.73% cashback,1.66% cashback,2.41% cashback,3.43% cashback,2.65% cashback,1.66% cashback,1x points,2.55% cashback
8043,0.83% cashback,3.81% cashback,3x points,2.98% cashback,1x points,3x points,4.87% cashback,4x points,2x points,3x points
8042,1x points,2.87% cashback,2.08% cashback,4.35% cashback,3x points,5x points,3x points,3.43% cashback,1.57% cashback,1.19% cashback
5976,1.74% cashback,3.12% cashback,4.15% cashback,3x points,2x points,5x points,5x points,4.01% cashback,5x points,1.15% cashback
8031,4.73% cashback,1x points,4x points,5x points,0.84% cashback,4.18% cashback,1x points,3x points,3x points,3x points
5921,1x points,2x points,2.65% cashback,4.97% cashback,2.57% cashback,5x points,4.75% cashback,1.72% cashback,5x points,0.88% cashback
5198,1.65% cashback,4x points,2.42% cashback,1.63% cashback,1x points,0.99% cashback,5x points,3.79% cashback,4x points,4x points
7523,5x points,4.67% cashback,3x points,2x points,3x points,5x points,2.63% cashback,2x points,4.00% cashback,3.16% cashback
4112,4x points,2x points,1.62% cashback,1.71% cashback,5x points,1x points,2.14% cashback,2.81% cashback,3.92% cashback,1.74% cashback
5933,1.16% cashback,3.71% cashback,3.26% cashback,2.80% cashback,0.86% cashback,5x points,3.40% cashback,3.84% cashback,3.63% cashback,2.73% cashback
5995,4.43% cashback,4x points,3x points,3.65% cashback,2.03% cashback,2x points,1.21% cashback,2x points,2x points,5x points
5172,2x points,1x points,5x points,1x points,4x points,2x points,3x points,1.96% cashback,4x points,2x points
7395,2.75% cashback,2.11% cashback,3.42% cashback,2.54% cashback,3x points,1x points,2x points,3.15% cashback,1x points,4x points
7221,5x points,2x points,2.60% cashback,2.95% cashback,1x points,5x points,5x points,2.00% cashback,3x points,3x points
5044,2.97% cashback,4.68% cashback,4x points,1.75% cashback,1.84% cashback,1.06% cashback,2x points,2.84% cashback,3x points,1.85% cashback
